filename,title,subject,publisher,year,license,size_mb,format,source,ingestion_status,library_rel_path
OpenStax_Introduction_to_Philosophy.pdf,Introduction to Philosophy,Philosophy,OpenStax,2022,CC BY 4.0,48.3,PDF,OpenStax / OER,pending,Philosophy/OpenStax_Introduction_to_Philosophy.pdf
OpenStax_University_Physics_Vol2.pdf,Openstax University Physics Vol2,Physics,,,,59.3,PDF,Local library,pending,Physics/OpenStax_University_Physics_Vol2.pdf
OpenStax_University_Physics_Vol3.pdf,Openstax University Physics Vol3,Physics,,,,49.6,PDF,Local library,pending,Physics/OpenStax_University_Physics_Vol3.pdf
OpenStax_Lifespan_Development.pdf,Lifespan Development,Psychology,OpenStax,2023,CC BY 4.0,66.5,PDF,OpenStax / OER,pending,Psychology/OpenStax_Lifespan_Development.pdf
OpenStax_Psychology_2e.pdf,Psychology 2e,Psychology,OpenStax,2020,CC BY 4.0,83.9,PDF,OpenStax / OER,pending,Psychology/OpenStax_Psychology_2e.pdf
OpenText_Abnormal_Psychology_2e.pdf,Abnormal Psychology 2e,Psychology,OpenText BC,2020,CC BY-NC-SA 4.0,2.8,PDF,OpenStax / OER,pending,Psychology/OpenText_Abnormal_Psychology_2e.pdf
OpenStax_Intro_Sociology_3e.pdf,Introduction to Sociology 3e,Sociology,OpenStax,2021,CC BY 4.0,44.3,PDF,OpenStax / OER,pending,Sociology/OpenStax_Intro_Sociology_3e.pdf
OpenStax_Business_Statistics_2e.pdf,Introductory Business Statistics 2e,Business/Finance,OpenStax,2023,CC BY 4.0,19.1,PDF,OpenStax / OER,pending,Business/Finance/OpenStax_Business_Statistics_2e.pdf
OpenStax_Introductory_Statistics.pdf,Introductory Statistics,Statistics,OpenStax,2013,CC BY 4.0,25.3,PDF,OpenStax / OER,pending,Statistics/OpenStax_Introductory_Statistics.pdf
OpenStax_Introductory_Statistics_2e.pdf,Introductory Statistics 2e,Statistics,OpenStax,2023,CC BY 4.0,19.1,PDF,OpenStax / OER,pending,Statistics/OpenStax_Introductory_Statistics_2e.pdf
OpenStax_Statistics.pdf,Statistics,Statistics,OpenStax,2022,CC BY 4.0,30.6,PDF,OpenStax / OER,pending,Statistics/OpenStax_Statistics.pdf
